"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"sce01100","sce01100","Metabolic pathways",753,0.346281760528358,1.72614703494316,2.24415760452075e-10,3.07449591819343e-08,2.6221209905453e-08,870,"tags=27%, list=17%, signal=26%","850469/856638/850484/855849/850491/850666/855288/856108/850745/852825/853653/853395/850361/852639/855855/853061/853214/854849/852009/855029/850370/856523/850616/856579/856234/853159/855779/856766/854362/854808/852951/856642/851272/856398/853690/854233/856442/855121/856386/855845/856625/855149/855675/854986/855593/850432/855242/853181/856589/852924/855553/856107/853243/850295/853481/855349/851987/850846/855750/853668/853755/851193/853810/855955/856182/855564/852008/853621/852522/855465/856683/853654/851073/854850/856079/851006/852952/853994/852378/851092/852317/856173/854989/855441/856187/855928/853608/853169/851547/852883/855248/856464/853984/854093/851065/850825/856689/853374/850411/850342/854098/856470/853569/856686/854557/855026/852241/853972/852044/856147/856188/852857/856411/850777/852688/851087/853805/854384/856448/853401/856665/852456/854339/850871/850790/854262/853651/850824/854913/854314/856626/852474/856568/854108/854772/853086/853122/854900/854310/855552/852450/852876/850838/855746/851920/852051/852211/850685/851353/854105/852735/851168/853664/851479/850519/852565/853955/855778/850400/854163/853256/854792/852314/853573/852424/856092/854845/856824/852311/853288/850833/853384/856432/851360/850746/851139/856460/856375/854371/851388/852196/855368/852893/854295/851455/856268/854356/851820/853253/856421/853732/852464/854342/855206/851605/853272/850376/854642/851910/855502/852144/851516/854415"
"sce01110","sce01110","Biosynthesis of secondary metabolites",355,0.359873153462469,1.69975033874787,2.10357208354155e-05,0.00144094687722596,0.00122892895406901,838,"tags=30%, list=17%, signal=27%","850469/850491/850745/853395/850361/852639/855855/853061/854849/855029/850370/856523/850616/856579/853159/855779/852951/851272/856398/856442/855149/850432/855242/856589/856107/853243/850295/855349/850846/855750/853755/851193/853810/855955/856182/852008/852522/853654/851073/856079/852952/853994/851092/852317/856173/855441/853169/851547/852883/855248/854093/850825/853374/850342/854098/856470/853972/856147/856188/856411/851087/853805/856665/852456/850871/850790/854262/853651/854913/856626/852474/856568/853086/853122/854900/854310/855552/851920/852211/850685/854105/852287/851479/852565/855778/850400/852152/856917/854792/853573/853849/856824/853288/850833/856460/856375/851388/855368/854295/856268/854356/852114/851820/853732/852464/855206/851605/853272"
"sce01212","sce01212","Fatty acid metabolism",23,0.749341770572927,2.19787609974747,5.9383745550004e-05,0.00170884252203708,0.00145740699151837,659,"tags=65%, list=13%, signal=57%","855288/852825/853653/854808/855845/853243/855750/853810/856079/851547/856464/851087/852456/850400/852314"
"sce00620","sce00620","Pyruvate metabolism",51,0.614713564763141,2.164606456753,6.23665154028133e-05,0.00170884252203708,0.00145740699151837,236,"tags=22%, list=5%, signal=21%","850469/856638/855849/854849/855349/850846/855750/851193/852522/856079/853994"
"sce03050","sce03050","Proteasome",36,-0.633634724387621,-2.02595021010206,4.54871788127776e-05,0.00170884252203708,0.00145740699151837,1203,"tags=58%, list=24%, signal=45%","852471/851461/851408/852003/852873/856742/850613/852834/852037/854119/852239/850611/856607/853168/851967/856422/851557/856218/850554/854735/854435"
"sce00500","sce00500","Starch and sucrose metabolism",35,-0.619263021856051,-1.96498635256048,0.000388043985092608,0.00886033765961454,0.00755664602548762,440,"tags=43%, list=9%, signal=39%","850569/851646/850614/851564/856289/852423/853304/854872/856137/850962/854708/856705/856314/853932/855131"
"sce00061","sce00061","Fatty acid biosynthesis",13,0.782049987275685,1.97899900765117,0.00101647104145394,0.0176359712004939,0.0150410511198987,281,"tags=54%, list=6%, signal=51%","855288/853653/854808/855845/855750/853810/856464"
"sce00100","sce00100","Steroid biosynthesis",18,0.715489752957048,1.96675616158176,0.00128729716791926,0.0176359712004939,0.0150410511198987,469,"tags=56%, list=9%, signal=51%","850745/855029/852951/856398/855242/855441/852883/856470/850790/853086"
"sce00010","sce00010","Glycolysis / Gluconeogenesis",52,0.538459151862082,1.89393518720398,0.0011354012849259,0.0176359712004939,0.0150410511198987,374,"tags=29%, list=7%, signal=27%","850469/853395/852639/850370/856579/855349/850846/851193/852522/851092/853169/850825/854098/853972/853805"
"sce01200","sce01200","Carbon metabolism",108,0.431049382384309,1.75489645807922,0.00122584367421295,0.0176359712004939,0.0150410511198987,554,"tags=31%, list=11%, signal=28%","850491/856108/853395/850361/852639/854849/850370/856579/853159/856589/856107/850295/850846/853755/851193/852522/853654/856079/853994/851092/853169/854093/854098/853972/856188/853805/850871/854262/856568/853122/854310/852211/850685"
"sce00900","sce00900","Terpenoid backbone biosynthesis",19,0.657282041842075,1.84250807434804,0.002975345871902,0.0339685320375479,0.0289704729632564,1240,"tags=63%, list=25%, signal=48%","855779/856079/855248/854913/854900/852287/853849/853272/852150/851171/852288/851468"
"sce00920","sce00920","Sulfur metabolism",13,-0.723697383911447,-1.80412661563103,0.00282585578455066,0.0339685320375479,0.0289704729632564,873,"tags=54%, list=17%, signal=45%","853602/851010/853466/855444/853869/856296/850588"
"sce00410","sce00410","beta-Alanine metabolism",13,-0.716170917702803,-1.78536366538341,0.00359600411651815,0.0378963510740758,0.0323203608853048,527,"tags=54%, list=11%, signal=48%","855137/852902/853878/856804/854556/855291/855205"
